time,total_population,active_colonies,temperature,ph,nutrients,growth_multiplier,stress_level,colony_id,species,population,generation,fitness,phase,mutations
0.0,15089,3,50.0,4.0,0,0.3288883469407809,0.6249597299999999,7127bacc-8daa-4c65-8c1e-2548fbbe87a9,Escherichia coli,6041,0,1.0,lag,0
0.0,15089,3,50.0,4.0,0,0.3288883469407809,0.6249597299999999,3d043b63-342c-45e2-bb06-cf28bf8620a2,Bacillus subtilis,4019,0,0.980256804087491,lag,0
0.0,15089,3,50.0,4.0,0,0.3288883469407809,0.6249597299999999,cb4f4aa7-175b-4655-96b5-9aa8f61d48f9,Staphylococcus aureus,5029,0,0.9805131185671017,lag,0
1.0,15955,3,50.0,4.0,0,0.13253350867113534,0.6653594899999999,7127bacc-8daa-4c65-8c1e-2548fbbe87a9,Escherichia coli,6466,0,1.0,lag,0
1.0,15955,3,50.0,4.0,0,0.13253350867113534,0.6653594899999999,3d043b63-342c-45e2-bb06-cf28bf8620a2,Bacillus subtilis,4185,0,0.678925218592122,lag,0
1.0,15955,3,50.0,4.0,0,0.13253350867113534,0.6653594899999999,cb4f4aa7-175b-4655-96b5-9aa8f61d48f9,Staphylococcus aureus,5304,0,0.8452876408706869,lag,0
2.0,16652,3,50.0,4.0,0,0.01,0.8799999999999999,7127bacc-8daa-4c65-8c1e-2548fbbe87a9,Escherichia coli,6850,0,1.0,lag,0
2.0,16652,3,50.0,4.0,0,0.01,0.8799999999999999,3d043b63-342c-45e2-bb06-cf28bf8620a2,Bacillus subtilis,4281,0,0.34486188464236656,lag,0
2.0,16652,3,50.0,4.0,0,0.01,0.8799999999999999,cb4f4aa7-175b-4655-96b5-9aa8f61d48f9,Staphylococcus aureus,5521,0,0.7700558096203891,lag,0
3.0,17150,3,50.0,4.0,0,0.01,0.8799999999999999,7127bacc-8daa-4c65-8c1e-2548fbbe87a9,Escherichia coli,7162,0,1.0,lag,0
3.0,17150,3,50.0,4.0,0,0.01,0.8799999999999999,3d043b63-342c-45e2-bb06-cf28bf8620a2,Bacillus subtilis,4302,0,0.1,lag,1
3.0,17150,3,50.0,4.0,0,0.01,0.8799999999999999,cb4f4aa7-175b-4655-96b5-9aa8f61d48f9,Staphylococcus aureus,5686,0,0.6918315362214771,lag,0
4.0,17625,3,50.0,4.0,0,0.01,0.8987499999999999,7127bacc-8daa-4c65-8c1e-2548fbbe87a9,Escherichia coli,7482,0,1.0,lag,0
4.0,17625,3,50.0,4.0,0,0.01,0.8987499999999999,3d043b63-342c-45e2-bb06-cf28bf8620a2,Bacillus subtilis,4312,0,0.1,lag,1
4.0,17625,3,50.0,4.0,0,0.01,0.8987499999999999,cb4f4aa7-175b-4655-96b5-9aa8f61d48f9,Staphylococcus aureus,5831,0,0.5787577715601134,lag,0
5.0,18082,3,50.0,4.0,0,0.01,0.8987499999999999,7127bacc-8daa-4c65-8c1e-2548fbbe87a9,Escherichia coli,7808,1,1.0,lag,0
5.0,18082,3,50.0,4.0,0,0.01,0.8987499999999999,3d043b63-342c-45e2-bb06-cf28bf8620a2,Bacillus subtilis,4322,1,0.1,lag,1
5.0,18082,3,50.0,4.0,0,0.01,0.8987499999999999,cb4f4aa7-175b-4655-96b5-9aa8f61d48f9,Staphylococcus aureus,5952,1,0.4849563971339997,lag,0
